Ax,Ay,Az,Gx,Gy,Gz,Label
-0.004,0.026,1.017,0.507,-2.293,1.242,IDLE
-0.005,0.026,1.018,0.534,-2.31,1.269,IDLE
-0.005,0.025,1.018,0.525,-2.293,1.225,IDLE
-0.004,0.026,1.016,0.551,-2.328,1.278,IDLE
-0.005,0.026,1.019,0.499,-2.301,1.234,IDLE
-0.004,0.026,1.017,0.534,-2.31,1.26,IDLE
-0.006,0.025,1.02,0.499,-2.328,1.295,IDLE
-0.004,0.026,1.015,0.429,-2.354,1.26,IDLE
-0.004,0.025,1.017,0.525,-2.345,1.242,IDLE
-0.005,0.025,1.017,0.595,-2.319,1.207,IDLE
-0.006,0.026,1.021,0.639,-2.336,1.26,IDLE
-0.002,0.027,1.015,0.516,-2.301,1.251,IDLE
-0.005,0.026,1.019,0.604,-2.328,1.269,IDLE
-0.007,0.026,1.017,0.525,-2.301,1.286,IDLE
-0.004,0.025,1.015,0.472,-2.293,1.295,IDLE
-0.005,0.027,1.018,0.56,-2.345,1.242,IDLE
-0.005,0.025,1.016,0.507,-2.301,1.278,IDLE
-0.005,0.025,1.017,0.543,-2.319,1.251,IDLE
-0.004,0.025,1.016,0.543,-2.293,1.269,IDLE
-0.006,0.027,1.019,0.577,-2.301,1.234,IDLE
-0.004,0.026,1.016,0.551,-2.319,1.26,IDLE
-0.005,0.026,1.019,0.525,-2.319,1.269,IDLE
-0.004,0.025,1.018,0.534,-2.328,1.242,IDLE
-0.005,0.026,1.018,0.481,-2.31,1.278,IDLE
-0.004,0.025,1.017,0.551,-2.345,1.278,IDLE
-0.005,0.027,1.018,0.577,-2.31,1.234,IDLE
-0.004,0.026,1.016,0.499,-2.319,1.278,IDLE
-0.005,0.026,1.017,0.586,-2.31,1.26,IDLE
-0.004,0.025,1.017,0.516,-2.319,1.251,IDLE
-0.005,0.027,1.017,0.472,-2.319,1.286,IDLE
-0.004,0.025,1.017,0.455,-2.301,1.286,IDLE
-0.004,0.026,1.018,0.525,-2.31,1.269,IDLE
-0.006,0.025,1.017,0.464,-2.328,1.234,IDLE
